"veiculo","ano","marca","categoria","sexo_condutor","idade_condutor","estado","valor_sinistro"
"Creta",2010,"Chevrolet","Hatch","Feminino",59,"PA",26503.3319665818
"Onix",2003,"Chevrolet","Picape","Masculino",27,"PB",3544.6648002835
"Creta",2005,"Volkswagen","Picape","Masculino",60,"PR",1026.2212933274
"Onix",2002,"Hyundai","Sedan","Masculino",41,"ES",16007.653510361
"Prisma",2008,"Ford","Picape","Feminino",39,"RJ",151475.91616381
"Gol",2017,"Chevrolet","Esportivo","Masculino",45,"RO",47673.7099367194
"Ka",2018,"Volkswagen","Sedan","Masculino",47,"AP",22148.8920864882
"Creta",2014,"Hyundai","Esportivo","Masculino",59,"PB",36479.047373659
"Corolla",2008,"Chevrolet","Minivan","Masculino",47,"PB",69781.3897009939
"Onix",2009,"Honda","Sedan","Feminino",61,"RN",9974.74799021147
"Gol",2023,"Chevrolet","Crossover","Masculino",43,"DF",83005.6707264856
"HB20",2021,"Ford","Crossover","Masculino",19,"SE",292007.684543403
"Onix",2015,"Chevrolet","Esportivo","Feminino",23,"PR",125472.986431257
"Gol",2019,"Hyundai","Picape","Feminino",55,"PI",9565.59708265122
"Jeep Renegade",2002,"Volkswagen","Perua","Feminino",61,"RJ",8188.53425574489
"HB20",2004,"Jeep","Sedan","Masculino",33,"BA",37270.168468263
"Jeep Renegade",2012,"Honda","Perua","Masculino",24,"MG",210436.619037995
"Gol",2023,"Chevrolet","Crossover","Feminino",39,"RJ",164975.713384384
"Onix",2006,"Chevrolet","Sedan","Feminino",32,"BA",37411.509579164
"Prisma",2015,"Ford","SUV","Masculino",30,"AP",55072.8250407614
"Creta",2019,"Hyundai","Esportivo","Masculino",64,"PI",44912.7654351061
"Onix",2018,"Chevrolet","Hatch","Masculino",56,"AL",26317.4123859033
"Jeep Renegade",2020,"Jeep","Esportivo","Masculino",49,"RR",94220.1042738277
"Gol",2001,"Volkswagen","Sedan","Masculino",51,"RJ",37898.464284488
"Gol",2016,"Toyota","Sedan","Masculino",30,"SE",25726.2342241826
"Corolla",2001,"Hyundai","Furgão","Feminino",31,"BA",69919.9444420403
"HB20",2005,"Honda","Sedan","Feminino",19,"AM",72439.0328994021
"Corolla",2017,"Ford","Esportivo","Feminino",54,"RS",7120.73783688247
"Creta",2010,"Volkswagen","SUV","Feminino",52,"MT",17903.2404823462
"Gol",2012,"Jeep","Hatch","Feminino",56,"PR",42787.5720920274
"Jeep Renegade",2013,"Honda","Perua","Feminino",61,"TO",30106.111543416
"Creta",2006,"Volkswagen","Furgão","Masculino",55,"SE",48927.5586150121
"Corolla",2014,"Jeep","Crossover","Masculino",56,"PA",14710.4513733881
"Fox",2023,"Ford","Perua","Feminino",51,"SE",12946.4307730086
"Creta",2000,"Honda","Furgão","Masculino",53,"AP",21555.284879473
"Fox",2009,"Chevrolet","Hatch","Feminino",53,"PB",23364.9753601057
"Civic",2008,"Jeep","Furgão","Feminino",32,"RJ",62780.6377237663
"Jeep Renegade",2011,"Volkswagen","Esportivo","Masculino",52,"RN",46461.9407882681
"Ka",2017,"Chevrolet","Sedan","Feminino",39,"PA",127706.117012748
"Prisma",2002,"Honda","Esportivo","Masculino",33,"CE",101898.970201798
"Fox",2015,"Chevrolet","Picape","Masculino",19,"MS",108218.032680312
"Ka",2023,"Chevrolet","SUV","Feminino",27,"RN",32228.486628714
"Creta",2019,"Volkswagen","Furgão","Masculino",49,"DF",60772.7552020922
"Jeep Renegade",2021,"Ford","SUV","Feminino",25,"PR",129733.630272117
"HB20",2011,"Jeep","Hatch","Masculino",18,"SE",1890.18220910802
"Civic",2007,"Volkswagen","SUV","Feminino",42,"RR",28179.2691753013
"Gol",2016,"Volkswagen","Perua","Feminino",46,"CE",57601.0807101848
"Onix",2013,"Hyundai","SUV","Feminino",65,"MT",44487.1675325092
"Jeep Renegade",2023,"Honda","Sedan","Masculino",32,"SE",146173.97037663
"Gol",2021,"Volkswagen","Hatch","Feminino",43,"RJ",77925.1090182224
"Jeep Renegade",2004,"Chevrolet","Sedan","Masculino",38,"PI",149197.290893574
"Prisma",2017,"Hyundai","Crossover","Feminino",28,"AL",128899.269852019
"Onix",2014,"Hyundai","Hatch","Feminino",24,"RS",242450.070308615
"Fox",2016,"Honda","Perua","Masculino",49,"PR",77930.3588028997
"Civic",2014,"Chevrolet","Hatch","Masculino",65,"DF",39021.1457859259
"Prisma",2008,"Toyota","Perua","Feminino",50,"AM",32272.2579782363
"Creta",2007,"Jeep","Picape","Feminino",36,"MT",30918.8700479455
"Fox",2013,"Ford","Esportivo","Feminino",31,"AP",96975.110725034
"Corolla",2005,"Honda","Picape","Feminino",46,"RO",10649.2601418635
"Fox",2003,"Jeep","Esportivo","Feminino",43,"MG",2670.36495902576
"Civic",2021,"Jeep","SUV","Feminino",39,"SE",108780.219453387
"HB20",2013,"Ford","Perua","Feminino",48,"PB",17953.5679637454
"Fox",2004,"Toyota","Furgão","Feminino",37,"RN",189182.302677096
"Civic",2013,"Honda","SUV","Feminino",36,"BA",86760.4462951422
"Corolla",2021,"Jeep","Furgão","Masculino",27,"PI",193881.554250163
"HB20",2022,"Honda","Esportivo","Masculino",45,"CE",60704.7993039247
"Jeep Renegade",2004,"Hyundai","Picape","Masculino",35,"RJ",114744.926835806
"Onix",2002,"Honda","Hatch","Feminino",37,"PB",135374.075270258
"Prisma",2013,"Hyundai","Sedan","Masculino",57,"SP",21028.0195240164
"Onix",2004,"Ford","Picape","Feminino",18,"DF",97892.6316720201
"Creta",2008,"Volkswagen","Crossover","Feminino",48,"SC",16328.8283056347
"Fox",2005,"Ford","Crossover","Feminino",19,"MS",248290.014618798
"Fox",2003,"Toyota","Minivan","Feminino",20,"RO",111990.321386768
"Civic",2019,"Ford","Furgão","Feminino",53,"SE",20598.9691172261
"Jeep Renegade",2011,"Ford","Minivan","Masculino",65,"MT",41380.9386624023
"Civic",2002,"Volkswagen","SUV","Masculino",37,"AP",7423.98535723332
"HB20",2007,"Chevrolet","SUV","Masculino",26,"AL",102134.642685647
"Onix",2013,"Toyota","Minivan","Feminino",44,"GO",55613.6592174415
"Corolla",2008,"Ford","Esportivo","Feminino",52,"RJ",9255.03009844106
"Ka",2001,"Hyundai","Perua","Masculino",35,"RN",130682.237389474
"Ka",2012,"Volkswagen","SUV","Feminino",18,"SC",241877.757016523
"Creta",2018,"Hyundai","Minivan","Masculino",47,"RO",57716.584910173
"Onix",2017,"Volkswagen","Crossover","Feminino",60,"PA",32930.6515825214
"Gol",2012,"Ford","SUV","Feminino",53,"RO",8317.57704734337
"Prisma",2016,"Honda","Esportivo","Masculino",39,"AP",114469.080729503
"Jeep Renegade",2013,"Hyundai","Minivan","Masculino",38,"ES",83280.3007616661
"Prisma",2011,"Toyota","Minivan","Masculino",40,"DF",113009.151580697
"Onix",2015,"Ford","Perua","Feminino",50,"PA",20062.2062894516
"Ka",2013,"Hyundai","Crossover","Feminino",65,"PB",25222.5441419752
"Fox",2009,"Honda","Perua","Feminino",25,"PB",120773.188731819
"Creta",2010,"Volkswagen","Minivan","Feminino",47,"CE",24750.8213787805
"Creta",2010,"Volkswagen","Minivan","Feminino",55,"PI",29476.3164595701
"Creta",2014,"Toyota","Hatch","Masculino",31,"RS",34528.5685370676
"Creta",2011,"Toyota","Esportivo","Masculino",50,"AL",57181.1118407175
"Creta",2012,"Ford","SUV","Masculino",37,"SP",169367.388348607
"HB20",2007,"Chevrolet","Picape","Feminino",46,"RO",16554.3444821145
"Fox",2017,"Hyundai","Crossover","Masculino",22,"RO",230178.519561002
"Jeep Renegade",2002,"Chevrolet","Crossover","Masculino",22,"SP",36881.125759799
"Fox",2010,"Chevrolet","Hatch","Feminino",18,"AC",82418.3169879019
"Gol",2005,"Ford","Hatch","Feminino",56,"AM",32326.6501734965
"Gol",2017,"Hyundai","Furgão","Masculino",44,"PA",69201.682921499
"Prisma",2001,"Jeep","Furgão","Masculino",56,"PE",29118.1922420394
"Ka",2019,"Chevrolet","Hatch","Masculino",31,"RR",160990.506059607
"Gol",2017,"Hyundai","Minivan","Feminino",20,"PR",121869.153992739
"Gol",2024,"Hyundai","Hatch","Masculino",38,"PB",161634.317538165
"HB20",2023,"Chevrolet","Minivan","Masculino",27,"PE",197401.860712608
"Onix",2002,"Chevrolet","Sedan","Masculino",38,"AC",7580.2188080037
"Civic",2022,"Chevrolet","Picape","Masculino",43,"RS",14677.6084973011
"Gol",2014,"Chevrolet","Hatch","Masculino",26,"AL",78974.9725967878
"Civic",2002,"Toyota","SUV","Feminino",38,"RN",123544.486204232
"Onix",2023,"Hyundai","Perua","Masculino",26,"PA",166765.264097578
"Civic",2011,"Chevrolet","Picape","Feminino",33,"RS",161211.688628886
"Jeep Renegade",2002,"Jeep","SUV","Feminino",53,"AP",2364.19833088294
"Prisma",2000,"Toyota","Minivan","Feminino",47,"RS",69389.1586737474
"Onix",2014,"Chevrolet","Perua","Feminino",41,"PR",15997.466321243
"Jeep Renegade",2022,"Honda","Esportivo","Masculino",20,"AM",119108.929399238
"Prisma",2024,"Toyota","Hatch","Masculino",44,"PA",38519.1336058313
"Creta",2015,"Chevrolet","Sedan","Masculino",23,"PE",209882.676135097
"Prisma",2008,"Volkswagen","Sedan","Masculino",26,"RR",181560.228157137
"Civic",2021,"Toyota","Esportivo","Feminino",26,"PA",116417.357280036
"HB20",2009,"Jeep","Esportivo","Masculino",30,"PE",18142.4687328748
"Fox",2017,"Chevrolet","Esportivo","Feminino",32,"AP",16606.2450013822
"Creta",2006,"Toyota","Esportivo","Masculino",65,"PB",44852.7070349315
"HB20",2013,"Jeep","Hatch","Feminino",32,"SE",190834.713683208
"Fox",2018,"Volkswagen","Hatch","Masculino",18,"CE",79479.2628687574
"Creta",2010,"Ford","Hatch","Feminino",62,"AL",40422.8174167452
"Fox",2023,"Chevrolet","Minivan","Feminino",56,"AL",35796.3676850777
"Gol",2017,"Honda","Furgão","Feminino",50,"ES",38375.575654977
"Civic",2005,"Jeep","Minivan","Masculino",20,"RR",137558.01552725
"HB20",2019,"Ford","SUV","Feminino",27,"CE",81577.5525578531
"Ka",2020,"Honda","Hatch","Masculino",35,"CE",145894.305949355
"Fox",2011,"Volkswagen","Esportivo","Masculino",48,"AM",15257.7479479136
"Creta",2023,"Chevrolet","Crossover","Feminino",32,"PB",115543.969258852
"Ka",2005,"Ford","Crossover","Masculino",37,"MT",112406.493029231
"Prisma",2017,"Honda","Hatch","Masculino",56,"SC",31458.4382316098
"Ka",2000,"Hyundai","Minivan","Feminino",65,"RR",1018.45757348929
"HB20",2015,"Chevrolet","Perua","Feminino",18,"RO",280344.807638624
"Fox",2023,"Jeep","Minivan","Masculino",35,"SP",3297.24140469916
"Fox",2002,"Honda","Minivan","Masculino",65,"SP",34400.8148477878
"Onix",2023,"Volkswagen","Hatch","Masculino",18,"MT",205480.809508637
"Jeep Renegade",2018,"Chevrolet","Minivan","Masculino",24,"RO",134165.526299668
"Prisma",2019,"Hyundai","Perua","Masculino",31,"RN",170227.818972594
"Corolla",2007,"Chevrolet","Crossover","Masculino",38,"GO",115993.00717148
"Jeep Renegade",2014,"Hyundai","Sedan","Feminino",49,"MA",3376.90136441961
"Onix",2011,"Honda","Picape","Feminino",18,"BA",123441.904763505
"Civic",2007,"Honda","Crossover","Masculino",54,"PB",14858.1747378455
"Jeep Renegade",2009,"Toyota","Hatch","Feminino",20,"PA",73346.6065618442
"Ka",2000,"Ford","Picape","Masculino",42,"DF",99664.3243038328
"Jeep Renegade",2002,"Chevrolet","Sedan","Masculino",22,"MT",166707.118793204
"Corolla",2008,"Chevrolet","Esportivo","Masculino",33,"PA",153958.655126113
"Civic",2015,"Ford","SUV","Feminino",51,"RS",32634.5611555967
"Jeep Renegade",2006,"Hyundai","Picape","Masculino",32,"AC",164455.042745546
"Jeep Renegade",2001,"Chevrolet","Hatch","Feminino",29,"AM",178632.072365959
"Prisma",2000,"Volkswagen","Sedan","Masculino",48,"ES",1024.90502255969
"Jeep Renegade",2016,"Chevrolet","Esportivo","Feminino",55,"RS",21446.4538373984
"Jeep Renegade",2020,"Toyota","Sedan","Feminino",32,"PE",132556.294858246
"Onix",2019,"Volkswagen","Picape","Feminino",26,"BA",13763.3504144149
"Fox",2016,"Ford","SUV","Masculino",28,"PR",113592.66445213
"Civic",2008,"Jeep","Furgão","Feminino",63,"BA",43143.2654692559
"Corolla",2009,"Ford","Minivan","Feminino",62,"PR",44680.6363518815
"Onix",2014,"Jeep","Sedan","Masculino",31,"PA",75396.558013442
"Onix",2008,"Hyundai","SUV","Feminino",57,"PI",39708.9450879255
"Onix",2015,"Honda","Minivan","Masculino",47,"RR",42086.5539075341
"Creta",2006,"Jeep","SUV","Feminino",65,"AC",46793.0757215479
"Corolla",2011,"Hyundai","SUV","Feminino",37,"DF",72651.5979821095
"Onix",2007,"Jeep","Minivan","Masculino",27,"GO",4307.83901687246
"Fox",2004,"Hyundai","Minivan","Feminino",59,"CE",6732.39278062247
"Onix",2018,"Jeep","Crossover","Masculino",62,"AP",31573.5490987543
"Onix",2000,"Chevrolet","Sedan","Masculino",47,"AC",83423.9625572227
"Fox",2002,"Jeep","SUV","Masculino",65,"SP",36548.8847948378
"Corolla",2018,"Jeep","Hatch","Feminino",60,"RR",25622.1994653344
"Civic",2003,"Ford","Crossover","Masculino",36,"PB",168974.237243622
"Civic",2016,"Honda","SUV","Feminino",61,"RN",11013.1285429001
"Gol",2010,"Chevrolet","SUV","Masculino",37,"ES",48045.7661998225
"Civic",2017,"Jeep","Minivan","Masculino",40,"MS",137487.097624433
"Onix",2005,"Hyundai","Furgão","Feminino",18,"AM",232391.334970691
"Onix",2010,"Honda","Esportivo","Feminino",62,"PE",43761.733738496
"Jeep Renegade",2018,"Toyota","Picape","Masculino",35,"AL",114779.692568979
"Fox",2006,"Volkswagen","Sedan","Feminino",36,"SE",104968.617054378
"Onix",2012,"Chevrolet","Minivan","Feminino",52,"ES",27737.8993418301
"HB20",2022,"Ford","Picape","Masculino",41,"RR",12588.537379913
"Gol",2021,"Honda","Sedan","Feminino",45,"AC",15013.1930583855
"Onix",2007,"Honda","Crossover","Feminino",20,"DF",101724.106031726
"Onix",2013,"Hyundai","Esportivo","Feminino",58,"RJ",47007.8328966862
"Fox",2023,"Volkswagen","Minivan","Masculino",55,"MS",16758.9346991852
"Fox",2006,"Chevrolet","Sedan","Feminino",58,"AM",25754.7733444255
"Gol",2008,"Jeep","Esportivo","Masculino",58,"DF",6060.97024511546
"Jeep Renegade",2013,"Ford","Furgão","Masculino",30,"PR",177350.861571264
"Civic",2020,"Ford","Crossover","Feminino",18,"SC",244559.490594151
"Prisma",2019,"Ford","SUV","Masculino",28,"CE",171092.421475262
"Jeep Renegade",2014,"Ford","Crossover","Feminino",39,"RJ",107525.041879108
"Prisma",2017,"Volkswagen","Hatch","Masculino",42,"MG",93820.6985524623
"Creta",2020,"Ford","Furgão","Feminino",28,"TO",126291.25880003
"Civic",2017,"Ford","Crossover","Feminino",29,"ES",118198.449901515
"Creta",2018,"Ford","Perua","Masculino",60,"AP",2449.40244948957
"Jeep Renegade",2017,"Toyota","Sedan","Masculino",24,"RO",161228.107511345
"Fox",2017,"Honda","Esportivo","Masculino",50,"AL",86428.8729631342
"Civic",2002,"Honda","Perua","Feminino",45,"MT",68151.3450803934
"Prisma",2008,"Hyundai","Esportivo","Masculino",28,"MA",152370.686382568
"HB20",2019,"Volkswagen","Sedan","Masculino",27,"SC",173083.556064451
"Gol",2012,"Hyundai","Esportivo","Feminino",21,"RS",198238.68124166
"Fox",2016,"Ford","Minivan","Feminino",65,"RO",30118.798620929
"Onix",2001,"Jeep","Perua","Masculino",32,"PA",95456.0058077564
"Fox",2012,"Hyundai","Minivan","Feminino",18,"CE",113375.132659427
"Corolla",2003,"Chevrolet","Perua","Masculino",33,"AP",118065.769931581
"HB20",2024,"Ford","Sedan","Feminino",63,"RJ",29164.2561149551
"Creta",2023,"Hyundai","SUV","Feminino",29,"AM",10237.6625655685
"Corolla",2022,"Jeep","Hatch","Masculino",46,"SP",62270.0536821503
"Corolla",2005,"Chevrolet","Crossover","Masculino",20,"AM",149717.51390663
"Fox",2003,"Jeep","Furgão","Feminino",36,"GO",183582.309414586
"Jeep Renegade",2005,"Chevrolet","Esportivo","Masculino",53,"RO",5142.53522029612
"Prisma",2009,"Jeep","SUV","Masculino",30,"TO",171347.058117669
"Fox",2016,"Honda","Furgão","Feminino",63,"ES",31493.1133698439
"Prisma",2016,"Chevrolet","Perua","Feminino",49,"BA",72459.6925603924
"Civic",2002,"Toyota","Esportivo","Feminino",39,"TO",123392.283190461
"Prisma",2024,"Toyota","Sedan","Masculino",51,"PE",26363.0133914994
"Corolla",2021,"Ford","Minivan","Masculino",40,"SE",185283.964537363
"Creta",2020,"Honda","Furgão","Feminino",58,"PR",26780.6571969297
"Jeep Renegade",2007,"Volkswagen","Crossover","Masculino",18,"PE",70459.6986161778
"Prisma",2019,"Toyota","Esportivo","Masculino",47,"SC",57231.8174183602
"Gol",2011,"Chevrolet","Esportivo","Feminino",31,"SP",144958.510249807
"Prisma",2015,"Honda","Furgão","Feminino",54,"SE",10631.4985111356
"Prisma",2022,"Hyundai","Crossover","Masculino",38,"AM",185957.220017421
"HB20",2000,"Jeep","Sedan","Masculino",47,"MG",22389.0490002697
"Gol",2013,"Volkswagen","Perua","Masculino",28,"SC",97567.8512481041
"Onix",2024,"Honda","Furgão","Feminino",48,"CE",3688.85512780398
"Onix",2011,"Ford","SUV","Masculino",19,"SE",83902.12693715
"Prisma",2024,"Volkswagen","Crossover","Masculino",57,"DF",46123.8166857511
"Civic",2020,"Honda","SUV","Masculino",46,"AM",8146.84970998205
"Gol",2023,"Ford","Crossover","Feminino",25,"MA",282030.072019086
"Gol",2010,"Volkswagen","Hatch","Masculino",63,"AL",48536.6285489174
"Prisma",2008,"Chevrolet","Esportivo","Masculino",51,"GO",17103.6667071283
"Jeep Renegade",2021,"Volkswagen","Hatch","Feminino",53,"RN",18814.2021092819
"HB20",2010,"Hyundai","Perua","Feminino",24,"GO",84098.4077882487
"Prisma",2021,"Chevrolet","Minivan","Masculino",19,"AP",190847.448612191
"Gol",2016,"Ford","Crossover","Masculino",36,"AC",15349.9664881965
"Creta",2020,"Ford","Perua","Masculino",18,"PE",46239.9976544548
"Onix",2003,"Volkswagen","Crossover","Feminino",21,"RS",225976.652257098
"Prisma",2021,"Volkswagen","Esportivo","Masculino",41,"SC",62492.6732904278
"Jeep Renegade",2014,"Honda","SUV","Feminino",61,"AL",10135.0003629923
"Fox",2018,"Volkswagen","Perua","Feminino",30,"CE",106197.266687825
"Ka",2005,"Volkswagen","Sedan","Masculino",21,"PR",194855.837263889
"HB20",2024,"Volkswagen","Crossover","Masculino",30,"BA",54783.3113995846
"HB20",2021,"Ford","SUV","Masculino",64,"BA",44917.1836078167
"Onix",2015,"Chevrolet","Minivan","Masculino",30,"PA",196016.821726365
"Corolla",2013,"Toyota","Perua","Feminino",18,"AC",104549.79941994
"Prisma",2007,"Ford","Esportivo","Masculino",58,"RS",26164.8597531253
"Jeep Renegade",2015,"Chevrolet","Picape","Feminino",40,"DF",152377.707925229
"Jeep Renegade",2018,"Toyota","Hatch","Feminino",21,"TO",226705.42472431
"Civic",2002,"Volkswagen","Minivan","Masculino",50,"AL",45618.5192264849
"Creta",2010,"Hyundai","Crossover","Feminino",39,"SC",35660.4387684492
"Ka",2000,"Ford","Hatch","Masculino",38,"PE",120466.683206777
"HB20",2003,"Jeep","Crossover","Feminino",41,"AM",30689.100082824
"Ka",2023,"Toyota","Perua","Masculino",64,"RJ",33004.6414558543
"Fox",2015,"Hyundai","SUV","Feminino",58,"AL",27032.2018284583
"Prisma",2002,"Toyota","Sedan","Feminino",28,"AP",43382.5328767067
"HB20",2001,"Chevrolet","Hatch","Feminino",18,"MT",100430.424349266
"Creta",2005,"Toyota","Sedan","Feminino",59,"AL",16528.9996533422
"Civic",2011,"Honda","Minivan","Feminino",62,"CE",39620.1819824986
"Corolla",2015,"Toyota","Picape","Feminino",30,"MT",27170.9885217249
"Fox",2014,"Ford","Esportivo","Feminino",33,"GO",176504.889755836
"Onix",2008,"Chevrolet","Sedan","Masculino",54,"RO",30882.3874128284
"Corolla",2016,"Volkswagen","Crossover","Feminino",61,"PA",3248.83511960506
"Prisma",2022,"Chevrolet","Picape","Masculino",38,"AP",158075.706975674
"Onix",2019,"Chevrolet","Minivan","Masculino",53,"AP",6600.24927556515
"Onix",2008,"Hyundai","Furgão","Masculino",63,"DF",24517.7965364885
"Fox",2006,"Jeep","Picape","Feminino",44,"SP",86847.2718532197
"HB20",2002,"Jeep","Hatch","Feminino",29,"MA",22279.9479324138
"Jeep Renegade",2014,"Chevrolet","Picape","Masculino",58,"RO",12318.2322342647
"HB20",2001,"Volkswagen","Minivan","Feminino",46,"AM",48632.579051517
"Onix",2004,"Honda","Sedan","Masculino",50,"AC",46506.3223133329
"Fox",2003,"Toyota","Picape","Feminino",20,"SE",233715.196847403
"Ka",2005,"Ford","Crossover","Feminino",41,"PI",5657.10157628637
"Onix",2002,"Honda","Furgão","Masculino",30,"PR",151381.667926209
"Creta",2023,"Honda","Esportivo","Feminino",19,"AC",146137.71794003
"Corolla",2015,"Volkswagen","Minivan","Feminino",36,"AC",34224.7824909166
"Ka",2022,"Volkswagen","Esportivo","Masculino",65,"MS",32280.1062724553
"Jeep Renegade",2016,"Honda","Sedan","Feminino",43,"SE",48350.4235817585
"Ka",2024,"Honda","Hatch","Feminino",30,"BA",197481.841566833
"Gol",2007,"Ford","Crossover","Masculino",40,"BA",51870.6319415476
"Civic",2017,"Toyota","Crossover","Masculino",24,"SE",242201.86957845
"Creta",2012,"Volkswagen","Furgão","Feminino",39,"AP",109101.019604132
"HB20",2023,"Honda","Esportivo","Feminino",59,"AM",18513.6090942193
"Jeep Renegade",2024,"Honda","Hatch","Masculino",56,"MA",7009.36078154482
"Gol",2015,"Chevrolet","Crossover","Masculino",64,"RS",1550.68862740882
"Gol",2019,"Jeep","Perua","Feminino",58,"SC",28757.1804035921
"Prisma",2006,"Volkswagen","Perua","Masculino",27,"RN",113873.564425041
"Civic",2024,"Ford","Furgão","Feminino",51,"DF",45220.5178967211
"Jeep Renegade",2006,"Hyundai","SUV","Masculino",33,"MA",189155.726566119
"Fox",2004,"Toyota","Hatch","Masculino",57,"SE",22774.5598012116
"Onix",2010,"Chevrolet","SUV","Feminino",52,"SE",14684.4204790657
"Onix",2014,"Jeep","Hatch","Masculino",29,"DF",80427.5202287361
"Ka",2021,"Volkswagen","Hatch","Masculino",49,"SE",61160.7039018301
"Ka",2023,"Ford","Minivan","Feminino",21,"AM",288507.422793866
"HB20",2007,"Toyota","SUV","Masculino",37,"MG",117057.30110507
"Fox",2022,"Volkswagen","Picape","Masculino",64,"BA",5430.98960933276
"Creta",2005,"Hyundai","Minivan","Masculino",39,"CE",46674.4593317853
"Onix",2002,"Honda","Hatch","Feminino",30,"MA",18367.0308842324
"Prisma",2011,"Hyundai","Sedan","Masculino",35,"SP",1652.82696823124
"Corolla",2012,"Honda","Minivan","Feminino",19,"GO",77599.9157563085
"HB20",2012,"Hyundai","Crossover","Feminino",33,"CE",164781.518557644
"Gol",2020,"Hyundai","Perua","Masculino",31,"RO",104305.289413431
"Prisma",2021,"Honda","Perua","Masculino",39,"RS",80916.2292320281
"Fox",2003,"Toyota","Esportivo","Masculino",28,"DF",132195.047175465
"Onix",2015,"Jeep","Perua","Feminino",62,"PR",12502.6591141243
"Gol",2002,"Chevrolet","SUV","Feminino",30,"ES",158007.917306456
"HB20",2024,"Jeep","Hatch","Masculino",25,"CE",95551.4848616207
"Corolla",2001,"Hyundai","Crossover","Masculino",53,"SE",39844.0753137926
"Prisma",2006,"Chevrolet","Minivan","Masculino",46,"PB",79394.5169827435
"Gol",2016,"Volkswagen","Furgão","Masculino",53,"AM",27431.1706732959
"Gol",2014,"Toyota","Picape","Masculino",26,"MA",110108.109165006
"Ka",2012,"Ford","Minivan","Feminino",30,"AC",185671.155377268
"Ka",2021,"Volkswagen","Perua","Masculino",52,"AL",27410.0137139903
"Corolla",2012,"Chevrolet","Crossover","Feminino",23,"SP",268840.400600759
"Fox",2006,"Honda","Minivan","Masculino",20,"MG",220093.812211719
"Corolla",2006,"Hyundai","Esportivo","Masculino",28,"RJ",96911.3556309836
"Creta",2014,"Chevrolet","SUV","Masculino",21,"AP",267107.490116707
"Creta",2006,"Jeep","Minivan","Feminino",57,"RN",34827.7355094673
"Fox",2016,"Chevrolet","Furgão","Feminino",63,"CE",13456.6304071108
"Ka",2016,"Honda","Picape","Feminino",46,"BA",98140.3156305896
"Civic",2015,"Jeep","Sedan","Masculino",52,"RJ",31963.2396177389
"Prisma",2021,"Toyota","Picape","Feminino",35,"SC",145349.230575794
"Ka",2011,"Volkswagen","Esportivo","Feminino",36,"RN",157065.450088237
"Gol",2013,"Chevrolet","Sedan","Masculino",58,"SC",34772.8493507253
"Jeep Renegade",2014,"Jeep","Hatch","Masculino",33,"RS",25636.3067928469
"Corolla",2014,"Volkswagen","Hatch","Feminino",63,"AC",32290.5157418922
"HB20",2016,"Hyundai","Sedan","Feminino",55,"PI",19150.4739325028
"Ka",2022,"Jeep","SUV","Feminino",49,"RN",20805.1765324548
"Ka",2022,"Chevrolet","Crossover","Feminino",24,"TO",180787.048827577
"Prisma",2010,"Hyundai","SUV","Feminino",26,"RS",185260.12845214
"Ka",2020,"Toyota","Perua","Feminino",58,"AL",20586.1867469037
"Onix",2008,"Ford","Perua","Masculino",40,"SP",3484.41366585903
"Civic",2010,"Volkswagen","Perua","Feminino",38,"ES",40576.9647125155
"Ka",2024,"Jeep","Furgão","Feminino",60,"DF",22510.4288583854
"Gol",2001,"Jeep","Hatch","Feminino",27,"GO",113977.47533347
"Gol",2015,"Honda","Crossover","Feminino",52,"PE",9030.97040106077
"Corolla",2004,"Hyundai","Furgão","Masculino",59,"GO",7273.49702420179
"Ka",2018,"Toyota","Esportivo","Masculino",24,"SP",237790.265314328
"Gol",2018,"Ford","Perua","Feminino",24,"RO",31495.4347906401
"HB20",2004,"Chevrolet","Furgão","Masculino",58,"SE",15254.9701197539
"Onix",2019,"Toyota","Minivan","Feminino",58,"SC",25835.293974774
"Corolla",2019,"Ford","Minivan","Masculino",22,"AL",124379.342240654
"HB20",2021,"Hyundai","Furgão","Masculino",58,"AL",37728.7349810591
"Fox",2010,"Hyundai","SUV","Feminino",62,"PE",45301.3026854489
"Ka",2003,"Honda","Furgão","Masculino",60,"MT",4737.47175517492
"Prisma",2020,"Honda","Hatch","Masculino",56,"BA",9032.70639651455
"Corolla",2019,"Jeep","SUV","Masculino",34,"AP",157032.327115117
"Prisma",2006,"Toyota","SUV","Masculino",61,"RR",11942.6883060252
"Jeep Renegade",2015,"Honda","Crossover","Masculino",18,"PA",170916.480468423
"Civic",2023,"Jeep","Crossover","Masculino",29,"MA",146822.142508766
"Ka",2010,"Jeep","SUV","Masculino",39,"RS",111893.334747781
"HB20",2020,"Hyundai","Furgão","Feminino",52,"GO",17754.4932322344
"Ka",2002,"Hyundai","Picape","Masculino",25,"SP",254769.747730158
"Creta",2014,"Toyota","Picape","Masculino",64,"SP",38865.3282606509
"Civic",2014,"Hyundai","Crossover","Feminino",30,"SP",27168.3085691649
"Corolla",2016,"Volkswagen","SUV","Masculino",44,"TO",74206.8941619014
"Fox",2008,"Chevrolet","Sedan","Feminino",26,"SE",187064.352693711
"Civic",2002,"Hyundai","Perua","Feminino",21,"AC",222186.257555382
"HB20",2001,"Toyota","Furgão","Feminino",26,"MS",24716.1219401751
"HB20",2014,"Hyundai","Furgão","Feminino",61,"DF",43741.1524472758
